id,media_id,character_id,character_name,character_role
1057,21,5677,,SUPPORTING
1408,21,59251,,SUPPORTING
1409,21,43093,,SUPPORTING
1881,21,4889,,SUPPORTING
1882,21,1541,,SUPPORTING
2365,21,16342,,SUPPORTING
3299,21,32893,,SUPPORTING
3711,21,4884,,SUPPORTING
3712,21,17190,,SUPPORTING
3948,21,55361,,SUPPORTING
4803,21,52689,,SUPPORTING
4804,21,2072,,SUPPORTING
6034,21,22620,,SUPPORTING
6124,21,2752,,SUPPORTING
6678,21,21526,,SUPPORTING
6679,21,33568,,SUPPORTING
6680,21,33569,,SUPPORTING
6803,21,21809,,SUPPORTING
7451,21,28509,,SUPPORTING
7452,21,9656,,SUPPORTING
7609,21,21375,,SUPPORTING
7970,21,6496,,SUPPORTING
7971,21,20946,,SUPPORTING
8628,21,34408,,SUPPORTING
8805,21,724,,MAIN
171233,21880,62,,MAIN
171234,21880,64,,MAIN
171235,21880,40,,MAIN
171236,21880,723,,MAIN
171237,21880,309,,MAIN
171238,21880,305,,MAIN
171239,21880,5627,,MAIN
171240,21880,724,,MAIN
171241,21880,61,,MAIN
179382,21335,40,,MAIN
179384,21335,62,,MAIN
179385,21335,137651,,MAIN
179386,21335,32893,,SUPPORTING
179387,21335,64,,MAIN
179388,21335,305,,MAIN
179389,21335,61,,MAIN
179390,21335,309,,MAIN
179391,21335,724,,MAIN
179392,21335,22687,,SUPPORTING
179393,21335,43093,,SUPPORTING
179394,21335,5627,,MAIN
179395,21335,5677,,SUPPORTING
179396,21335,6551,,SUPPORTING
187892,21335,147149,,SUPPORTING
260206,21335,137654,,MAIN
260211,21335,723,,MAIN
280464,21335,208896,,SUPPORTING
280466,21335,208898,,SUPPORTING
280467,21335,208900,,SUPPORTING
280468,21335,208899,,SUPPORTING
280469,21335,208901,,SUPPORTING
281007,21335,209064,,SUPPORTING
281008,21335,209065,,SUPPORTING
281009,21335,209066,,SUPPORTING
171361,21831,40,,MAIN
171362,21831,5677,,SUPPORTING
171363,21831,62,,MAIN
171364,21831,309,,MAIN
171365,21831,305,,MAIN
171366,21831,723,,MAIN
171367,21831,724,,MAIN
171368,21831,5627,,MAIN
171369,21831,64,,MAIN
171370,21831,61,,MAIN
171371,21831,137651,,SUPPORTING
171372,21831,137652,,SUPPORTING
171373,21831,137653,,SUPPORTING
171374,21831,137654,,SUPPORTING
308777,21831,208899,,SUPPORTING
308786,21831,208901,,SUPPORTING
391148,21831,36846,,SUPPORTING
391150,21831,287864,,SUPPORTING
391152,21831,287867,,SUPPORTING
391153,21831,287868,,SUPPORTING
168501,105143,40,,MAIN
168502,105143,62,,MAIN
168503,105143,724,,MAIN
168504,105143,725,,SUPPORTING
168505,105143,305,,MAIN
168506,105143,2753,,SUPPORTING
168507,105143,309,,MAIN
168508,105143,4896,,SUPPORTING
168509,105143,64,,MAIN
168510,105143,723,,MAIN
168511,105143,4899,,SUPPORTING
168512,105143,4898,,SUPPORTING
168513,105143,4897,,SUPPORTING
168514,105143,61,,MAIN
168515,105143,5627,,MAIN
168516,105143,2750,,SUPPORTING
168517,105143,3879,,SUPPORTING
168518,105143,13767,,SUPPORTING
176894,105143,5677,,SUPPORTING
176895,105143,140671,,MAIN
176896,105143,140672,,MAIN
176897,105143,14989,,SUPPORTING
176898,105143,20292,,SUPPORTING
176899,105143,20288,,SUPPORTING
176900,105143,20295,,SUPPORTING
271568,128292,40,,MAIN
271569,128292,309,,MAIN
271570,128292,5627,,MAIN
271571,128292,723,,MAIN
271572,128292,140671,,MAIN
271573,128292,62,,MAIN
271574,128292,61,,MAIN
271575,128292,64,,MAIN
271576,128292,724,,MAIN
271577,128292,305,,MAIN
271578,128292,140672,,MAIN
102880,30013,724,,MAIN
102881,30013,64,,MAIN
102882,30013,305,,MAIN
102883,30013,5627,,MAIN
102884,30013,723,,MAIN
102885,30013,40,,MAIN
102886,30013,61,,MAIN
102887,30013,62,,MAIN
102888,30013,309,,MAIN
102889,30013,21374,,SUPPORTING
102890,30013,40264,,SUPPORTING
102891,30013,4887,,SUPPORTING
