account_id,media_id,status,score,progress,progress_volumes,repeat,priority,private,notes,started_at,completed_at,updated_at,created_at
2,103572,COMPLETED,50,12,,,,,,,,,
2,109261,COMPLETED,50,12,,,,,,,,,
2,105807,COMPLETED,60,12,,,,,,,,,
2,112686,COMPLETED,60,12,,,,,,,,,
2,116589,COMPLETED,60,11,,,,,,,,,
2,47,COMPLETED,60,1,,,,,,,,,
2,6547,COMPLETED,60,13,,,,,,,,,
2,9989,COMPLETED,90,11,,,,,,,,,
2,11111,COMPLETED,50,12,,,,,,,,,
2,9919,COMPLETED,60,25,,,,,,,,,
2,21861,COMPLETED,50,12,,,,,,,,,
2,105932,COMPLETED,50,12,,,,,,,,,
2,97994,COMPLETED,40,12,,,,,,,,,
2,21234,COMPLETED,60,12,,,,,,,,,
2,21459,COMPLETED,60,13,,,,,,,,,
2,21856,COMPLETED,70,25,,,,,,,,,
2,100166,COMPLETED,70,25,,,,,,,,,
2,104276,COMPLETED,70,25,,,,,,,,,
2,117193,COMPLETED,60,25,,,,,,,,,
2,20997,COMPLETED,60,13,,,,,,,,,
2,14741,COMPLETED,50,12,,,,,,,,,
2,1575,COMPLETED,80,25,,,,,,,,,
2,2904,COMPLETED,90,25,,,,,,,,,
2,1,COMPLETED,70,26,,,,,,,,,
2,99423,COMPLETED,60,24,,,,,,,,,
2,105190,COMPLETED,60,11,,,,,,,,,
2,6880,COMPLETED,50,12,,,,,,,,,
2,1535,COMPLETED,90,37,,,,,,,,,
2,103139,COMPLETED,40,12,,,,,,,,,
2,105333,COMPLETED,60,24,,,,,,,,,
2,113936,COMPLETED,60,11,,,,,,,,,
2,20920,COMPLETED,50,13,,,,,,,,,
2,101167,COMPLETED,50,12,,,,,,,,,
2,2759,COMPLETED,80,1,,,,,,,,,
2,3784,COMPLETED,100,1,,,,,,,,,
2,3785,COMPLETED,70,1,,,,,,,,,
2,98035,COMPLETED,70,25,,,,,,,,,
2,103275,COMPLETED,70,21,,,,,,,,,
2,356,COMPLETED,40,24,,,,,,,,,
2,20791,COMPLETED,70,1,,,,,,,,,
2,21718,COMPLETED,70,1,,,,,,,,,
2,21719,COMPLETED,70,1,,,,,,,,,
2,19603,COMPLETED,80,13,,,,,,,,,
2,20792,COMPLETED,80,13,,,,,,,,,
2,10087,COMPLETED,80,13,,,,,,,,,
2,11741,COMPLETED,80,12,,,,,,,,,
2,71,COMPLETED,60,24,,,,,,,,,
2,72,COMPLETED,50,12,,,,,,,,,
2,121,COMPLETED,70,51,,,,,,,,,
2,5114,COMPLETED,90,64,,,,,,,,,
2,114535,COMPLETED,70,20,,,,,,,,,
2,21878,COMPLETED,50,12,,,,,,,,,
2,108241,COMPLETED,40,13,,,,,,,,,
2,99699,COMPLETED,50,12,,,,,,,,,
2,102977,COMPLETED,50,12,,,,,,,,,
2,17895,COMPLETED,40,24,,,,,,,,,
2,110349,COMPLETED,70,23,,,,,,,,,
2,21428,COMPLETED,60,12,,,,,,,,,
2,20464,COMPLETED,60,25,,,,,,,,,
2,20992,COMPLETED,60,25,,,,,,,,,
2,21698,COMPLETED,60,10,,,,,,,,,
2,15809,COMPLETED,60,13,,,,,,,,,
2,5630,COMPLETED,50,11,,,,,,,,,
2,124080,COMPLETED,60,13,,,,,,,,,
2,431,COMPLETED,70,1,,,,,,,,,
2,11061,COMPLETED,80,148,,,,,,,,,
2,185,COMPLETED,50,26,,,,,,,,,
2,186,COMPLETED,60,13,,,,,,,,,
2,110270,COMPLETED,50,12,,,,,,,,,
2,106479,COMPLETED,50,12,,,,,,,,,
2,14719,COMPLETED,60,26,,,,,,,,,
2,20474,COMPLETED,60,24,,,,,,,,,
2,20799,COMPLETED,60,24,,,,,,,,,
2,21450,COMPLETED,80,39,,,,,,,,,
2,102883,COMPLETED,70,39,,,,,,,,,
2,113415,COMPLETED,70,24,,,,,,,,,
2,5680,COMPLETED,50,13,,,,,,,,,
2,16664,COMPLETED,0,1,,,,,,,,,
2,101921,COMPLETED,70,12,,,,,,,,,
2,112641,COMPLETED,80,12,,,,,,,,,
2,113425,COMPLETED,10,12,,,,,,,,,
2,115230,COMPLETED,70,13,,,,,,,,,
2,107663,COMPLETED,40,12,,,,,,,,,
2,113813,COMPLETED,50,12,,,,,,,,,
2,7711,COMPLETED,0,1,,,,,,,,,
2,101903,COMPLETED,50,23,,,,,,,,,
2,572,COMPLETED,80,1,,,,,,,,,
2,101922,COMPLETED,80,26,,,,,,,,,
2,112151,COMPLETED,70,1,,,,,,,,,
2,21519,COMPLETED,70,1,,,,,,,,,
2,99750,COMPLETED,70,1,,,,,,,,,
2,20623,COMPLETED,70,24,,,,,,,,,
2,21776,COMPLETED,80,13,,,,,,,,,
2,20954,COMPLETED,90,1,,,,,,,,,
2,11887,COMPLETED,100,13,,,,,,,,,
2,16001,COMPLETED,80,4,,,,,,,,,
2,21202,COMPLETED,70,10,,,,,,,,,
2,21699,COMPLETED,70,10,,,,,,,,,
2,102976,COMPLETED,70,1,,,,,,,,,
2,103632,COMPLETED,60,24,,,,,,,,,
2,17265,COMPLETED,60,25,,,,,,,,,
2,20671,COMPLETED,60,25,,,,,,,,,
2,97986,COMPLETED,90,13,,,,,,,,,
2,100643,COMPLETED,90,1,,,,,,,,,
2,14513,COMPLETED,50,25,,,,,,,,,
2,9756,COMPLETED,70,12,,,,,,,,,
2,107693,COMPLETED,60,23,,,,,,,,,
2,112609,COMPLETED,50,12,,,,,,,,,
2,512,COMPLETED,70,1,,,,,,,,,
2,100298,COMPLETED,60,13,,,,,,,,,
2,21507,COMPLETED,70,12,,,,,,,,,
2,101338,COMPLETED,70,13,,,,,,,,,
2,10937,COMPLETED,60,6,,,,,,,,,
2,164,COMPLETED,90,1,,,,,,,,,
2,117343,COMPLETED,50,13,,,,,,,,,
2,108465,COMPLETED,80,11,,,,,,,,,
2,20,COMPLETED,60,220,,,,,,,,,
2,1735,COMPLETED,70,500,,,,,,,,,
2,30,COMPLETED,80,26,,,,,,,,,
2,32,COMPLETED,90,1,,,,,,,,,
2,18897,COMPLETED,40,20,,,,,,,,,
2,20876,COMPLETED,30,12,,,,,,,,,
2,19815,COMPLETED,70,12,,,,,,,,,
2,20447,COMPLETED,40,12,,,,,,,,,
2,21128,COMPLETED,40,13,,,,,,,,,
2,21087,COMPLETED,80,12,,,,,,,,,
2,12355,COMPLETED,0,1,,,,,,,,,
2,20832,COMPLETED,60,13,,,,,,,,,
2,98437,COMPLETED,60,13,,,,,,,,,
2,101474,COMPLETED,50,13,,,,,,,,,
2,437,COMPLETED,90,1,,,,,,,,,
2,329,COMPLETED,50,26,,,,,,,,,
2,20872,COMPLETED,60,13,,,,,,,,,
2,13601,COMPLETED,80,22,,,,,,,,,
2,20513,COMPLETED,60,11,,,,,,,,,
2,97980,COMPLETED,60,22,,,,,,,,,
2,21355,COMPLETED,70,25,,,,,,,,,
2,108632,COMPLETED,70,13,,,,,,,,,
2,119661,COMPLETED,70,12,,,,,,,,,
2,12477,COMPLETED,50,1,,,,,,,,,
2,205,COMPLETED,70,26,,,,,,,,,
2,99457,COMPLETED,70,1,,,,,,,,,
2,101291,COMPLETED,70,13,,,,,,,,,
2,199,COMPLETED,80,1,,,,,,,,,
2,20665,COMPLETED,80,22,,,,,,,,,
2,7724,COMPLETED,40,22,,,,,,,,,
2,16498,COMPLETED,70,25,,,,,,,,,
2,20958,COMPLETED,70,12,,,,,,,,,
