staff_id,media_id,role
95043,21,"Theme Song Performance (English; OP1, OP3, ED11)"
95202,21,ADR Director (English)
95203,21,Producer (English)
95313,21,"Theme Song Performance (English; ED2, ED7, ED10)"
95475,21,"Theme Song Performance (English; ED4, ED12)"
95535,21,Theme Song Performance (English; OP2)
95659,21,"Theme Song Performance (English; OP4, ED1)"
95859,21,Theme Song Performance (English; ED6)
96339,21,ADR Director (English; eps 131-135)
96881,21,Original Creator
100067,21,Episode Director (ep 199)
100162,21,Chief Director (eps 1-278)
100162,21,Episode Director
100163,21,Script
100165,21,Script
100170,21,Script
100316,21,Executive Producer (English)
100653,21,Animation Director
100990,21,"ADR Director (English; eps 24-27, 192-195)"
101055,21,Music
101167,21,"Theme Song Performance (OP14, OP20)"
101322,21,Theme Song Performance (OP12)
101459,21,"Storyboard (eps 6, 11, 167)"
101459,21,"Episode Director (eps 6, 11, 167)"
101596,21,Editing (eps 204-345)
96881,21880,Original Creator
99980,21335,Music
96881,21335,Original Creator
121855,21335,Art design
121855,21335,Background Art Supervisor
118971,21335,Background Art
132478,21335,Director
140342,21335,Key Animation
140342,21335,Animation Director
196481,21335,ADR Director (German)
196480,21335,Script (German)
152875,21335,ADR Director (Italian)
152875,21335,Script (Italian)
230944,21335,Recording Engineer (Italian)
251853,21335,Script
156651,21335,Theme Song Performance (ED)
175197,21335,ADR Director (Brazilian Portuguese)
114173,21335,Animation Director
143517,21335,Key Animation
135955,21335,Animation Director
106064,21335,Animation Director
151021,21335,Animation Director
143529,21335,Animation Director
138388,21335,Animation Director
170201,21335,Mechanical Design
138381,21335,Animation Director
124670,21831,Storyboard
96881,21831,Original Creator
107867,21831,Director
140342,21831,Key Animation
107867,21831,Storyboard
175197,21831,ADR Director (Brazilian Portuguese)
314714,21831,Assistant Producer
96881,105143,Original Creator
96881,105143,Creative Supervisor
122477,105143,Director
118546,105143,Chief Animation Director
118546,105143,Animation Director
121855,105143,Art
118546,105143,Character Design
122477,105143,Screenplay
109339,105143,Screenplay
136768,105143,Background Art
121682,105143,Unit Director
122477,105143,Storyboard
121682,105143,Storyboard
143516,105143,Unit Director
143515,105143,Unit Director
106924,105143,Storyboard
138381,105143,Animation Director
143516,105143,Storyboard
138388,105143,Storyboard
133299,105143,Animation Director
138382,105143,Animation Director
103469,105143,Animation Director
138388,105143,Animation Director
118452,105143,Effects Animation Director
138387,105143,Animation Director
122477,128292,Story
109339,128292,Story
96881,128292,Art
96955,128292,Story
96881,30013,Story & Art
107002,30013,Assistant (former)
97906,30013,Assistant (former)
215014,30013,Translator (Norwegian: vols 1-45)
120849,30013,Assistant
218470,30013,Translator (English)
224916,30013,Touch-up Art & Lettering (English: vol 41)
224874,30013,Lettering (English: vols 5-10)
224934,30013,"Touch-up Art (English: vols 7-9, 11-14)"
226460,30013,Lettering (Portuguese)
225598,30013,Translator (German)
220710,30013,Translator (Portuguese)
214069,30013,Touch-up Art & Lettering (English: vol 34)
223942,30013,Touch-up Art & Lettering (English: vols 11-15)
220675,30013,Translator (Portuguese)
225647,30013,Translator (Italian)
230701,30013,Translator (English: vols 4-9)
230702,30013,Touch-up Art & Lettering (English)
230703,30013,Translator (English: vol 11)
230704,30013,Translator (German)
230705,30013,Translator (French)
230706,30013,Translator (French)
230707,30013,Touch-up Art & Lettering (English: vol 36)
230708,30013,Translator (English: vol 36)
230709,30013,Translator (English)
96881,119425,Illustration
148726,119425,Story
96881,125826,Story & Art
96881,30793,Story & Art
230252,30793,Translator (Spanish)
96881,134184,Story & Art
96881,35114,Story & Art
96881,5252,Original Creator
102689,5252,Music
103804,5252,Character Design
101055,5252,Music
103815,5252,Assistant Animation Director
101934,5252,Director
104174,5252,Key Animation
103798,5252,Assistant Animation Director
101934,5252,Storyboard
103804,5252,Animation Director
155017,5252,Key Animation
217731,5252,Key Animation
142756,5252,Key Animation
246742,5252,Key Animation
125207,5252,Key Animation
134737,5252,Key Animation
152267,5252,Key Animation
248026,5252,Key Animation
103798,5252,Key Animation
103815,5252,Key Animation
143521,5252,Key Animation
152528,5252,Key Animation
145069,5252,Key Animation
196767,5252,Key Animation
148662,5252,Key Animation
96881,134185,Story & Art
96881,134186,Story & Art
96881,147146,Story & Art
123074,167404,Series Composition
96881,167404,Original Creator
123074,167404,Director 
111485,53251,Story & Art
230252,53251,Translator (Spanish)
111485,82353,Story & Art
230252,82353,Translator (Spanish)
126173,102533,Story & Art
96881,102533,Original Creator
96881,3848,Original Creator
101055,3848,Music
102689,3848,Music
103469,3848,Character Design
103469,3848,Animation Director
103469,3848,Key Animation
103979,3848,Key Animation
110187,3848,Key Animation
110627,3848,Key Animation
111683,3848,Assistant Animation Director
113593,3848,Planning
114173,3848,Key Animation
115058,3848,Director
115058,3848,Storyboard
121193,3848,Key Animation
121365,3848,Key Animation
100886,3848,Script (German)
100886,3848,ADR Director (German)
95203,2107,Producer (English)
95312,2107,Script (English)
96881,2107,Original Creator
100316,2107,Executive Producer (English)
101055,2107,Music
102976,2107,Theme Song Performance
103463,2107,Animation Director
103463,2107,Character Design
103469,2107,Key Animation
103469,2107,Assistant Animation Director
103970,2107,ADR Director (English)
103979,2107,Key Animation
103979,2107,Assistant Animation Director
107867,2107,Assistant Director
100886,2107,Script (German)
100886,2107,ADR Director (German)
175197,2107,ADR Director (Brazilian Portuguese)
276622,2107,CG Production Manager
166389,2107,Key Animation
116257,2107,Director
96881,465,Original Creator
100162,465,Director
101055,465,Music
102916,465,Theme Song Performance
103463,465,Animation Director
103463,465,Character Design
103469,465,Assistant Animation Director
100886,465,ADR Director (German)
100886,465,Script (German)
244830,465,ADR Director (Castilian Spanish)
103815,465,Key Animation
144017,465,Assistant Animation Director
138387,465,Assistant Animation Director
143521,465,Key Animation
134230,465,Key Animation
276622,465,CG Production Manager
146539,464,Planning
100886,464,Script (German)
100886,464,ADR Director (German)
212076,464,Script
237487,464,Production
103619,464,Animation Director
159391,464,Director of Photography
96881,464,Original Creator
110187,464,Character Design
134777,464,Planning
235345,464,Production Desk
101055,464,Music
105913,464,Character Design
106865,464,Art Director
146608,464,Color Design
105913,464,Animation Director
141821,464,Sound Effects
231868,464,Production
101596,464,Editing
137337,464,Key Animation
155024,464,Key Animation
147868,464,Key Animation
151686,464,Key Animation
110187,464,Animation Director
155926,464,Key Animation
96881,463,Original Creator
100170,463,Script
101055,463,Music
101805,463,Director
102679,463,Character Design
102679,463,Animation Director
102689,463,Music
103469,463,Assistant Animation Director
111683,463,Assistant Animation Director
122343,463,Key Animation
100886,463,ADR Director (German)
100886,463,Script (German)
244830,463,ADR Director (Castilian Spanish)
103815,463,Assistant Animation Director
103798,463,Assistant Animation Director
233152,463,Assistant Animation Director
144114,463,Assistant Animation Director
103804,463,Assistant Animation Director
96881,462,Original Creator
100162,462,Director
100170,462,Screenplay
101055,462,Music
101934,462,Assistant Animation Director
102475,462,Background Art
102679,462,Animation Director
102679,462,Character Design
102689,462,Music
103469,462,Key Animation
103815,462,Key Animation
105261,462,Key Animation
109225,462,Theme Song Arrangement
109225,462,Theme Song Composition
109225,462,Theme Song Lyrics
109225,462,Theme Song Performance
111683,462,Key Animation
117429,462,Key Animation
100886,462,ADR Director (German)
100886,462,Script (German)
96881,461,Original Creator
99003,461,Key Animation
101055,461,Music
102679,461,Animation Director
102679,461,Character Design
103815,461,Key Animation
108747,461,Key Animation
111061,461,Key Animation
114986,461,Background Art
115058,461,Director
115058,461,Storyboard
117429,461,Key Animation
100886,461,Script (German)
100886,461,ADR Director (German)
96881,2386,Original Creator
101055,2386,Music
101596,2386,Editing
102689,2386,Music
111683,2386,Animation Director
115042,2386,Sound Effects
111683,2386,Character Design
116979,2386,Art Director
146539,2386,Planning
118555,2386,Director
146540,2386,Recording
100886,2386,ADR Director (German)
146607,2386,CG Director
146608,2386,Color Coordination
146609,2386,Production Manager
146610,2386,Director of Photography
100886,2386,Script (German)
96881,460,Original Creator
101055,460,Music
103463,460,Character Design
103463,460,Animation Director
103619,460,Key Animation
103815,460,Key Animation
105959,460,Background Art
115058,460,Director
115058,460,Storyboard
100886,460,ADR Director (German)
100886,460,Script (German)
244830,460,ADR Director (Castilian Spanish)
96881,2385,Original Creator
101055,2385,Music
101596,2385,Editing
101823,2385,Director
102689,2385,Music
115042,2385,Sound Effects
102679,2385,Character Design
103798,2385,Character Design
120614,2385,CG Director
138387,2385,Animation Director
100886,2385,ADR Director (German)
102499,2385,Art Director
146539,2385,Planning
146543,2385,Theme Song Performance
146540,2385,Recording
146541,2385,Screenplay
146542,2385,Editing
146609,2385,Production Desk
100886,2385,Script (German)
96881,459,Original Creator
100323,459,Key Animation
101055,459,Music
