id,name,about,avatar_large,avatar_medium,banner_image,options_title_language,options_display_adult_content,options_airing_notifications,options_profile_color,options_staff_name_language,score_format,site_url,created_at,updated_at,stats_anime_count,stats_anime_mean_score,stats_anime_standard_deviation,stats_anime_minutes_watched,stats_anime_episodes_watched,stats_manga_count,stats_manga_mean_score,stats_manga_standard_deviation,stats_manga_chapters_read,stats_manga_volumes_read
5454172,TheHeadofHonchos,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,False,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/5454172,1625721163,1711577785,285,63.55,15.3,139188,5631,49,66.67,16,5661,530
6480355,Shouyishi,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480355-efhbcrHpFu8d.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480355-efhbcrHpFu8d.jpg,,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6480355,1698628238,1711504801,42,0,0,3233,394,14,0,0,139,0
6480357,naz288,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480357-9KrsvrzOSgfO.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480357-9KrsvrzOSgfO.jpg,,ROMAJI,True,True,pink,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6480357,1698628383,1699110028,85,79.3,18.9,46579,3001,4,100,0,180,14
6480362,Coollyo,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,True,purple,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6480362,1698629032,1711240897,108,78.97,9.7,50648,2079,0,0,0,0,0
6480363,SirBoingo04,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480363-WEvoUTdzbx0U.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480363-WEvoUTdzbx0U.jpg,https://s4.anilist.co/file/anilistcdn/user/banner/b6480363-jRsnredGjtlb.jpg,ENGLISH,True,True,red,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6480363,1698629082,1711256622,50,87.29,13.7,18899,745,10,87.22,14.2,1097,60
6480367,estherwowzie,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,True,purple,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6480367,1698629674,1710736013,25,83.94,15.8,12061,503,6,89,0,239,9
6480369,Papamoblue,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6480369,1698629785,1711546243,15,0,0,3154,132,0,0,0,0,0
6480377,mythicalTypist,"Placeholder until I can figure out how to work this
<hr>

~~~Indigo
They/them
18~~~

<hr>
I talk a lot in my replies sometimes",https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480377-qVoyYRM7tbLf.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480377-qVoyYRM7tbLf.png,,ENGLISH,True,True,blue,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6480377,1698630504,1711445094,99,80.69,12.6,45948,1976,43,87.8,14.3,2659,123
6480383,Takinat,Soul Drifters - (Ratana Satis) __Completed__,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480383-dX3mk8P5w9BK.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480383-dX3mk8P5w9BK.jpg,,ENGLISH,True,True,green,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6480383,1698631511,1711421675,23,100,0,6780,283,70,94.1,20,2297,54
6480387,Lukefinder,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6480387-khWPcWjPWbIz.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6480387-khWPcWjPWbIz.jpg,,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6480387,1698631647,1711247812,31,100,0,25110,1060,0,0,0,0,0
